original_index,original_class,success,boundary_x1,boundary_x2,distance,method,neutrality,proximity_l2,flip_correct
149,0.0,False,-4.0646124,0.13689493,0.7071148,fgsm,,,False
150,1.0,False,4.0568676,1.4589787,0.7071145,fgsm,,,False
151,0.0,False,-1.7210848,-1.4378585,0.7071061,fgsm,,,False
152,0.0,False,-3.4033191,0.24378511,0.70710653,fgsm,,,False
153,0.0,False,-1.6589253,1.4370005,0.7071061,fgsm,,,False
154,1.0,False,2.5192351,2.1829877,0.7071061,fgsm,,,False
155,0.0,False,-1.7685294,-0.34374046,0.7071061,fgsm,,,False
156,1.0,False,3.6562293,1.6219759,0.7071086,fgsm,,,False
157,0.0,False,-2.208519,2.0864918,0.7071062,fgsm,,,False
158,1.0,False,3.4876647,2.3364606,0.7071061,fgsm,,,False
159,0.0,False,-4.301266,1.4741267,0.7071146,fgsm,,,False
160,0.0,False,-0.94435334,0.60038525,0.70710623,fgsm,,,False
161,0.0,False,-2.1561403,1.2975206,0.7071061,fgsm,,,False
162,0.0,False,-2.6488798,-0.78156114,0.7071061,fgsm,,,False
163,0.0,False,-1.5473568,1.136644,0.7071061,fgsm,,,False
164,0.0,False,-2.0172963,-1.157036,0.7071061,fgsm,,,False
165,0.0,False,-4.225665,1.5752214,0.7071145,fgsm,,,False
166,0.0,False,-2.9281418,-0.42693478,0.7071061,fgsm,,,False
167,1.0,False,3.4757576,1.8686464,0.7071061,fgsm,,,False
168,0.0,False,-2.6104915,0.74425215,0.7071062,fgsm,,,False
169,0.0,False,-3.2196245,0.24743596,0.70710653,fgsm,,,False
170,1.0,False,2.6121898,4.0295568,0.7071145,fgsm,,,False
171,1.0,False,2.1206868,3.2077131,0.7071061,fgsm,,,False
172,1.0,False,3.305891,2.0416756,0.7071061,fgsm,,,False
173,0.0,False,-3.2615047,-0.7721168,0.7071061,fgsm,,,False
174,1.0,False,3.6446743,1.8306358,0.70710844,fgsm,,,False
175,0.0,False,-2.0804415,0.35221624,0.7071064,fgsm,,,False
176,0.0,False,-2.857244,-0.43845904,0.7071061,fgsm,,,False
177,1.0,False,1.5291746,2.1198351,0.7071061,fgsm,,,False
178,0.0,False,-0.10131339,0.70446336,0.7071063,fgsm,,,False
179,1.0,False,2.4646683,0.11419766,0.70710623,fgsm,,,False
180,1.0,False,1.447086,2.007664,0.7071061,fgsm,,,False
181,0.0,False,-2.6712942,-0.33987904,0.7071061,fgsm,,,False
182,0.0,False,-2.7698312,-0.26329458,0.7071061,fgsm,,,False
183,0.0,False,-0.9674393,0.6289363,0.70710623,fgsm,,,False
